Repo,CommitHash,TimeStamp,Author,Language,Files,Lines,Code,Comments,Blanks,Revision Comment
ThunderWeasel,0342a1da4dfc28188a8622d63da3daddccde7a68,1535405656,Leonhard Euler,Python,0,36,35,0,1,(WIP) adding option for selecting FPs from random tap_livefeed
ThunderWeasel,0342a1da4dfc28188a8622d63da3daddccde7a68,1535405656,Leonhard Euler,Total,0,36,35,0,1,(WIP) adding option for selecting FPs from random tap_livefeed
ThunderWeasel,3254e34ad42fcd0596b37a34fa0faad75696566f,1535397713,John Nash,Notebook,0,2,2,0,0,fixing load_and_analyze
ThunderWeasel,3254e34ad42fcd0596b37a34fa0faad75696566f,1535397713,John Nash,Total,0,2,2,0,0,fixing load_and_analyze
ThunderWeasel,d31c7036cd6c4cc3de7391c34be4a0912a180fdf,1535397071,John Nash,Notebook,-1,-836,-836,0,0,updating notebook name
ThunderWeasel,d31c7036cd6c4cc3de7391c34be4a0912a180fdf,1535397071,John Nash,Total,-1,-836,-836,0,0,updating notebook name
ThunderWeasel,36bd396e053abff78fef1451f30e06866b23c2b0,1535396582,Ada Lovelace,Python,0,1,1,0,0,Added cmdline option for global sampling rate of live feed.
ThunderWeasel,36bd396e053abff78fef1451f30e06866b23c2b0,1535396582,Ada Lovelace,Total,0,1,1,0,0,Added cmdline option for global sampling rate of live feed.
ThunderWeasel,a76c4669bb726794bb71b4f662701aacd0de3c69,1535395824,Ada Lovelace,Plain Text,0,87,87,0,0,test data
ThunderWeasel,a76c4669bb726794bb71b4f662701aacd0de3c69,1535395824,Ada Lovelace,Total,0,87,87,0,0,test data
ThunderWeasel,0b7ec2984afb55199985d8825542eb4137f1774f,1535395789,Ada Lovelace,Python,0,9,6,0,3,Added a layer of random sampling to the tap filter.
ThunderWeasel,0b7ec2984afb55199985d8825542eb4137f1774f,1535395789,Ada Lovelace,Total,0,9,6,0,3,Added a layer of random sampling to the tap filter.
ThunderWeasel,f69e238fcc5cab3336a275cdee5e60a4965b6995,1535392704,John Nash,Notebook,0,-70,-70,0,0,updating reader wrapper
ThunderWeasel,f69e238fcc5cab3336a275cdee5e60a4965b6995,1535392704,John Nash,Python,0,51,39,3,9,updating reader wrapper
ThunderWeasel,f69e238fcc5cab3336a275cdee5e60a4965b6995,1535392704,John Nash,Plain Text,0,2,2,0,0,updating reader wrapper
ThunderWeasel,f69e238fcc5cab3336a275cdee5e60a4965b6995,1535392704,John Nash,Total,0,-17,-29,3,9,updating reader wrapper
ThunderWeasel,e28093dc9cdeded4085ff1b2c52ed63cf0d13cec,1535380975,John Nash,Plain Text,0,2,2,0,0,tests
ThunderWeasel,e28093dc9cdeded4085ff1b2c52ed63cf0d13cec,1535380975,John Nash,Total,0,2,2,0,0,tests
ThunderWeasel,5cf91f1e827481f312b22568ebadb5445f8ea4df,1535172400,Marvin Minsky,Python,1,206,150,10,46,Starting on a common crawl runner
ThunderWeasel,5cf91f1e827481f312b22568ebadb5445f8ea4df,1535172400,Marvin Minsky,Total,1,206,150,10,46,Starting on a common crawl runner
ThunderWeasel,281143748a36e34e87d468162c382e8d47a97a68,1535171478,Marvin Minsky,Python,1,46,41,0,5,Changed the pattern for running details in a thin-thread towards the notion of PageDetails instead of HAR
ThunderWeasel,281143748a36e34e87d468162c382e8d47a97a68,1535171478,Marvin Minsky,Total,1,46,41,0,5,Changed the pattern for running details in a thin-thread towards the notion of PageDetails instead of HAR
ThunderWeasel,beaef281eea92b59cc12f914c9f64c7f8ce2dc41,1535157036,Ada Lovelace,Python,0,-3,-3,0,0,"Reverted the sampling ""update"" to livefeed.  It was a hack to begin with and is being replaced with a more principled approach."
ThunderWeasel,beaef281eea92b59cc12f914c9f64c7f8ce2dc41,1535157036,Ada Lovelace,Total,0,-3,-3,0,0,"Reverted the sampling ""update"" to livefeed.  It was a hack to begin with and is being replaced with a more principled approach."
ThunderWeasel,43bd267ab00896b18bcbdd6f7bba955d865b906d,1535147290,Edsger Dijkstra,Python,0,-1,-4,0,3,move some puppeteer features into html features and add a few more features
ThunderWeasel,43bd267ab00896b18bcbdd6f7bba955d865b906d,1535147290,Edsger Dijkstra,Plain Text,0,2,2,0,0,move some puppeteer features into html features and add a few more features
ThunderWeasel,43bd267ab00896b18bcbdd6f7bba955d865b906d,1535147290,Edsger Dijkstra,Total,0,1,-2,0,3,move some puppeteer features into html features and add a few more features
ThunderWeasel,01406f1674cd9eefcc6e0d1bbc12980657888f78,1535142461,John Nash,Notebook,1,500,500,0,0,moving classes to random_forest.py
ThunderWeasel,01406f1674cd9eefcc6e0d1bbc12980657888f78,1535142461,John Nash,Python,0,247,189,15,43,moving classes to random_forest.py
ThunderWeasel,01406f1674cd9eefcc6e0d1bbc12980657888f78,1535142461,John Nash,Total,1,747,689,15,43,moving classes to random_forest.py
ThunderWeasel,305c115eb1b4f391c398a8baf97a94a502d2b604,1535139679,Marvin Minsky,Python,0,9,6,0,3,Added a fix to the datastore to write a result of -2 if an original insert failed
ThunderWeasel,305c115eb1b4f391c398a8baf97a94a502d2b604,1535139679,Marvin Minsky,Total,0,9,6,0,3,Added a fix to the datastore to write a result of -2 if an original insert failed
ThunderWeasel,7926298f1efc8465f6b5d0cf2d8fca7403bcf514,1535139220,Marvin Minsky,Python,0,5,5,0,0,Added output option for main
ThunderWeasel,7926298f1efc8465f6b5d0cf2d8fca7403bcf514,1535139220,Marvin Minsky,Total,0,5,5,0,0,Added output option for main
ThunderWeasel,aa4e0bf5c9dd84a5e11193183ea3709d64143d35,1535124293,John Nash,Notebook,0,58,58,0,0,committing before merging new features from master
ThunderWeasel,aa4e0bf5c9dd84a5e11193183ea3709d64143d35,1535124293,John Nash,Total,0,58,58,0,0,committing before merging new features from master
ThunderWeasel,01130ee7d5879a8432c9f6cdc748d084c14d9694,1535114847,John Nash,Notebook,0,47,47,0,0,working
ThunderWeasel,01130ee7d5879a8432c9f6cdc748d084c14d9694,1535114847,John Nash,Total,0,47,47,0,0,working
ThunderWeasel,46961e1b7f94c07076f673ebb6c2a493f4b130e0,1535094074,Marvin Minsky,Python,2,313,225,10,78,Added some code to demonstrate the har thin-thread
ThunderWeasel,46961e1b7f94c07076f673ebb6c2a493f4b130e0,1535094074,Marvin Minsky,Total,2,313,225,10,78,Added some code to demonstrate the har thin-thread
